tweet_id,date,full_text,tweet_type,hashtags,mentions,user_id,user_location,geo,lat_coordinates,lng_coordinates,place_type,place_name,place_full_name,country_code,country,prof_country,prof_country_code,prof_locality,prof_region,prof_sub_region,prof_full_name,prof_coord_lat,prof_coord_lng,reply_count,quote_count,likes_count,retweet_counts,hyperlink
1590878386507116544,Fri Nov 11 01:25:39 +0000 2022,Maybe the sandy hook parents could buy Twitter and call it a day?,Original Tweet,,,14873826,"Baltimore, MD",,,,,,,,,United States,US,Baltimore,Maryland,City of Baltimore,"Baltimore, Maryland, United States",-76.61219,39.29038,0,0,3,0,https://twitter.com/twitter/status/1590878386507116544
1590878384292532224,Fri Nov 11 01:25:38 +0000 2022,"@rmatthartley Of course, the gun control movement is rooted in a history of racism. https://t.co/k9vUm34JSC",Reply Tweet,,['@rmatthartley'],1038586566,Northern Illinois,,,,,,,,,United States,US,,Illinois,,"Illinois, United States",-89.25037,40.00032,1,0,0,0,https://twitter.com/twitter/status/1590878384292532224
1590878358987935744,Fri Nov 11 01:25:32 +0000 2022,@maura_healey I just want a chiappa revolver. Can you please fix these weird arbitrary gun laws.,Reply Tweet,,['@maura_healey'],856284062679523328,"Boston, MA",,,,,,,,,United States,US,Boston,Massachusetts,Suffolk County,"Boston, Massachusetts, United States",-71.05977,42.35843,0,0,0,0,https://twitter.com/twitter/status/1590878358987935744
1590878324452397061,Fri Nov 11 01:25:24 +0000 2022,I do not support gun control therefore I do not vote democrat that simple,Original Tweet,,,1544787048200118272,"Albuquerque, NM",,,,,,,,,United States,US,Albuquerque,New Mexico,Bernalillo County,"Albuquerque, New Mexico, United States",-106.65114,35.08449,0,0,0,0,https://twitter.com/twitter/status/1590878324452397061
1590878323692818432,Fri Nov 11 01:25:24 +0000 2022,@kiwa327 @SimBreezay @demsmight @TPostMillennial Reevaluating the support system for young adults would do more wonders than any gun control could. We have a culture and people problem in this country. Kids being brought up in single parent homes without a father to teach them to have things like empathy.,Reply Tweet,,"['@kiwa327', '@SimBreezay', '@demsmight', '@TPostMillennial']",991523742755901440,"Fountain, CO",,,,,,,,,United States,US,Fountain,Colorado,El Paso County,"Fountain, Colorado, United States",-104.70081,38.68222,0,0,1,0,https://twitter.com/twitter/status/1590878323692818432
1590878256865189890,Fri Nov 11 01:25:08 +0000 2022,"@HenryColton @FlynDutchman466 @reese_rowdy @BetoORourke good nobody needs an ar-15, universal background checks would also save lives, god bless Beto",Reply Tweet,,"['@HenryColton', '@FlynDutchman466', '@reese_rowdy', '@BetoORourke']",2801126253,"Delray Beach, FL",,,,,,,,,United States,US,Delray Beach,Florida,Palm Beach County,"Delray Beach, Florida, United States",-80.07282,26.46146,9,0,7,0,https://twitter.com/twitter/status/1590878256865189890
1590878229832691712,Fri Nov 11 01:25:01 +0000 2022,"@qwertyelsma @Sefoy5 @Freya_the_Queen @GregAbbott_TX Hint for the slow learner: they already are.
#gunsense is nonsense 
#2A #2AShallNotBeInfringed 
#GunsSaveLives https://t.co/PpkOhaGxYl",Reply Tweet,"['#gunsense', '#2A', '#2AShallNotBeInfringed', '#GunsSaveLives']","['@qwertyelsma', '@Sefoy5', '@Freya_the_Queen', '@GregAbbott_TX']",3333126258,Free America,,,,,,,,,United States,US,,,,United States,-98.5,39.76,1,0,2,0,https://twitter.com/twitter/status/1590878229832691712
1590878217770250242,Fri Nov 11 01:24:58 +0000 2022,"@IsaacDovere @RepSeanMaloney @AOC You are all clueless. Yes, the bail reform does not sit right with us. Gun control for others was a big deal. BUT the way Covid was handled outside the city and Hochul’s lack of common sense got you all booted. NYC should be a commonwealth.",Reply Tweet,,"['@IsaacDovere', '@RepSeanMaloney', '@AOC']",1350947501000552449,"Florida, USA",,,,,,,,,United States,US,,Florida,,"Florida, United States",-82.5001,28.75054,1,0,0,0,https://twitter.com/twitter/status/1590878217770250242
1590878149797351424,Fri Nov 11 01:24:42 +0000 2022,@Bran_again @Centraloregona1 People who are being attacked.  People who have legally purchased an appropriate firearm. People who have shown themselves not to be needlessly violent.  That's who I trust with a gun.  If one can 3d print the parts they skip all of that.  This leads to more gun violence,Reply Tweet,,"['@Bran_again', '@Centraloregona1']",1418010946400931840,"Mount Pleasant, SC",,,,,,,,,United States,US,Mount Pleasant,South Carolina,Charleston County,"Mount Pleasant, South Carolina, United States",-79.86259,32.79407,2,0,0,0,https://twitter.com/twitter/status/1590878149797351424
1590878135251177472,Fri Nov 11 01:24:39 +0000 2022,"Another Guy Robbed Of Gun In His Pocket Is Why I Don't Open Carry

There are not too many things more embarrassing than having your gun taken away from you and then having that person point it at you and dare you to come get it back.

https://t.co/gbQYn1AiDz",Original Tweet,,,348778908,"Texas, USA",,,,,,,,,United States,US,,Texas,,"Texas, United States",-99.25061,31.25044,43,2,489,55,https://twitter.com/twitter/status/1590878135251177472
1590878109813067777,Fri Nov 11 01:24:33 +0000 2022,@davidhogg111 Clearly skipped over the 2nd Amendment and went straight to the 26th…,Reply Tweet,,['@davidhogg111'],1451694074205982723,"New Jersey, USA",,,,,,,,,United States,US,,New Jersey,,"New Jersey, United States",-74.49987,40.16706,0,0,0,0,https://twitter.com/twitter/status/1590878109813067777
1590878045975760897,Fri Nov 11 01:24:17 +0000 2022,@MarilynKayWhea2 @JamesHeger5 @NRA History doesn't lie. That's how this all started https://t.co/1Dl6wl1DjQ,Reply Tweet,,"['@MarilynKayWhea2', '@JamesHeger5', '@NRA']",1570094489469063169,"Bisbee, AZ",,,,,,,,,United States,US,Bisbee,Arizona,Cochise County,"Bisbee, Arizona, United States",-109.92841,31.44815,0,0,0,0,https://twitter.com/twitter/status/1590878045975760897
1590877942866853888,Fri Nov 11 01:23:53 +0000 2022,@megmantis This is why the second amendment is good.  It's for when a guy like this says a thing like this,Reply Tweet,,['@megmantis'],433939695,"Chicago, IL",,,,,,,,,United States,US,Chicago,Illinois,Cook County,"Chicago, Illinois, United States",-87.65005,41.85003,1,0,1,0,https://twitter.com/twitter/status/1590877942866853888
1590877882061971456,Fri Nov 11 01:23:38 +0000 2022,@JenTusch You literally have a ban assault weapons tag on your profile.   I'll go buy a new one just for you!!  I wanted a 7.62 ak47 anyways :)      Thanks for the inspiration.,Reply Tweet,,['@JenTusch'],1445795599924686848,OHIO,,,,,,,,,United States,US,,Ohio,,"Ohio, United States",-83.00018,40.25034,1,0,3,0,https://twitter.com/twitter/status/1590877882061971456
1590877782929989634,Fri Nov 11 01:23:15 +0000 2022,@CPD1617Scanner Stand Your Ground and Licensed Open Carry,Reply Tweet,,['@CPD1617Scanner'],1369223796977176580,USA,,,,,,,,,United States,US,,,,United States,-98.5,39.76,0,0,1,0,https://twitter.com/twitter/status/1590877782929989634
1590877733177131008,Fri Nov 11 01:23:03 +0000 2022,"COMING UP ON O'CONNOR TONIGHT - 9PM

⭐ @tedcruz / @SenTedCruz
 ⭐ @susanferrechio on post election jockeying 
⭐️ @davidharsanyi on the premature pronouncement of the death of democracy 
⭐️ @emilymiller on crazy Oregon gun laws

@WatchSalemNews-Roku-AmazonFire-AppleTV https://t.co/GfiyiSJqNZ",Original Tweet,,"['@tedcruz', '@SenTedCruz', '@susanferrechio', '@davidharsanyi', '@emilymiller', '@WatchSalemNews']",89297892,"Washington, DC ",,,,,,,,,United States,US,,"Washington, D.C.",,"Washington, D.C., United States",-77.00025,38.91706,2,0,11,6,https://twitter.com/twitter/status/1590877733177131008
1590877729947541504,Fri Nov 11 01:23:02 +0000 2022,@Deptydog90 @NRA Now here’s what you do. Keep staring at that firearm and wait for it to jump up and kill someone. Don’t take your eyes of it until it does or you lose.,Reply Tweet,,"['@Deptydog90', '@NRA']",1326297098,"California, U. S. A.",,,,,,,,,United States,US,,California,,"California, United States",-119.75126,37.25022,1,0,0,0,https://twitter.com/twitter/status/1590877729947541504
1590877703020105728,Fri Nov 11 01:22:56 +0000 2022,"@edjsandoval @maggieNYT @nytimes Point is, having power, for too many, is more important than the lives of 3rd graders. Worst part, they will sleep well every night, while the families of gun violence victims will never sleep well again. 
Thanks @maggieNYT for sharing the stories of your peeps in Trumps circle.",Reply Tweet,,"['@edjsandoval', '@maggieNYT', '@nytimes', '@maggieNYT']",21232889,Los Angeles CA,,,,city,La Canada Flintridge,"La Canada Flintridge, CA",US,United States,United States,US,Los Angeles,California,Los Angeles County,"Los Angeles, California, United States",-118.24368,34.05223,0,0,18,2,https://twitter.com/twitter/status/1590877703020105728
1590877692475604992,Fri Nov 11 01:22:53 +0000 2022,@Stevechargualaf @davramdavram Requiring insurance to own a firearm is a complete infringement of a second amendment and would never survive the American court system. It's a pipe dream.,Reply Tweet,,"['@Stevechargualaf', '@davramdavram']",1582794614800801792,"Seattle, WA",,,,,,,,,United States,US,Seattle,Washington,King County,"Seattle, Washington, United States",-122.33207,47.60621,0,0,5,0,https://twitter.com/twitter/status/1590877692475604992
1590877632660647937,Fri Nov 11 01:22:39 +0000 2022,"@e_galv @justkeeprunin71 Weird?   No. As a life strategy that’s stupid, crazy, cowardly, and about a hundred other bad things. But it’s only weird if you buy into it. I don’t ask anyone for my freedoms. #2A",Reply Tweet,['#2A'],"['@e_galv', '@justkeeprunin71']",794518760212271104,United States,,,,,,,,,United States,US,,,,United States,-98.5,39.76,0,0,0,0,https://twitter.com/twitter/status/1590877632660647937
1590877613899526145,Fri Nov 11 01:22:34 +0000 2022,"@powellnathanj ""it looks like a coat rack, but if you step right here, *steps on panel* your AR-15 practically jumps into your hands""",Reply Tweet,,['@powellnathanj'],1207489129069461504,"Ohio, USA",,,,admin,Ohio,"Ohio, USA",US,United States,United States,US,,Ohio,,"Ohio, United States",-83.00018,40.25034,0,0,4,0,https://twitter.com/twitter/status/1590877613899526145
1590877530793607168,Fri Nov 11 01:22:15 +0000 2022,"@LolaOnThePath @BetoORourke Can't begin to wrap my mind around that. How the hell does one lose a loved one to gun violence then vote for blood money whores like @GovAbbott?! What have he, @SenTedCruz @JohnCornyn EVER done for communities like Uvalde? My gawd!🤬",Reply Tweet,,"['@LolaOnThePath', '@BetoORourke', '@GovAbbott', '@SenTedCruz', '@JohnCornyn']",407465636,Pennsylvania ,,,,,,,,,United States,US,,Pennsylvania,,"Pennsylvania, United States",-76.90567,40.27245,1,0,17,1,https://twitter.com/twitter/status/1590877530793607168
1590877502779850753,Fri Nov 11 01:22:08 +0000 2022,"@MarilynKayWhea2 @NRA Listen to these words carefully ""registration leads to confiscation.""if you don't believe me here's some examples https://t.co/clnGV3lHJ9",Reply Tweet,,"['@MarilynKayWhea2', '@NRA']",1570094489469063169,"Bisbee, AZ",,,,,,,,,United States,US,Bisbee,Arizona,Cochise County,"Bisbee, Arizona, United States",-109.92841,31.44815,0,0,2,0,https://twitter.com/twitter/status/1590877502779850753
1590877447368474624,Fri Nov 11 01:21:55 +0000 2022,"@fred_guttenberg Similar gun laws have been in effect for years here in MA. We have one of the lowest gun violence rates in the country. My son, who won marksmanship awards in the military, had to take the gun safety course &amp; interview with the chief of police in my city. Sensible gun laws work.",Reply Tweet,,['@fred_guttenberg'],1027017686642053121,"Massachusetts, USA",,,,,,,,,United States,US,,Massachusetts,,"Massachusetts, United States",-71.10832,42.36565,1,0,2,0,https://twitter.com/twitter/status/1590877447368474624
1590877423448756224,Fri Nov 11 01:21:49 +0000 2022,"@iambatty2 @PatriotGirlVa @SugSuggie @BetoORourke They must show their Illinois Gun Card AND Pass a Federal background check. THEN, the gun is NOT given to them. It MUST be shipped to an FFL IN ILLINOIS. Only then, can they go and pick it up.  

So blaming other states for Illinois' problems is nothing but phony BS.",Reply Tweet,,"['@iambatty2', '@PatriotGirlVa', '@SugSuggie', '@BetoORourke']",36869007,North Texas,,,,,,,,,United States,US,Annetta North,Texas,Parker County,"Annetta North, Texas, United States",-97.67586,32.7193,0,0,4,0,https://twitter.com/twitter/status/1590877423448756224
1590877378854936576,Fri Nov 11 01:21:38 +0000 2022,"@qwertyelsma @Sefoy5 @Freya_the_Queen @GregAbbott_TX Where specifically did I say that? I'm advocating to #ProtectTheKids unlike you. #FACTSOVERFEELINGS 

#gunsense is nonsense 
#2A #2AShallNotBeInfringed 
#GunsSaveLives",Reply Tweet,"['#ProtectTheKids', '#FACTSOVERFEELINGS', '#gunsense', '#2A', '#2AShallNotBeInfringed', '#GunsSaveLives']","['@qwertyelsma', '@Sefoy5', '@Freya_the_Queen', '@GregAbbott_TX']",3333126258,Free America,,,,,,,,,United States,US,,,,United States,-98.5,39.76,2,0,2,0,https://twitter.com/twitter/status/1590877378854936576
1590877290543874048,Fri Nov 11 01:21:17 +0000 2022,@xyberbug @AdamParkhomenko Funny how even the one that survived said Kyle didn’t shoot him UNTIL he pointed his gun at Kyle. You may not like it but self defense is still legal.,Reply Tweet,,"['@xyberbug', '@AdamParkhomenko']",1552068633760829451,"New Hampshire, USA",,,,,,,,,United States,US,,New Hampshire,,"New Hampshire, United States",-71.4998,43.66702,0,0,1,0,https://twitter.com/twitter/status/1590877290543874048
1590877255433326594,Fri Nov 11 01:21:09 +0000 2022,"@davidhogg111 @ACTBrigitte Thanks to the 2nd Amendment, so are yours.",Reply Tweet,,"['@davidhogg111', '@ACTBrigitte']",1463323599024971779,"Washington, DC",,,,,,,,,United States,US,,"Washington, D.C.",,"Washington, D.C., United States",-77.00025,38.91706,1,0,0,0,https://twitter.com/twitter/status/1590877255433326594
1590877225930588160,Fri Nov 11 01:21:02 +0000 2022,"@davidhogg111 For those of you keeping score at home, David says “26th Amendment good, 2nd Amendment bad.”

Keep cherry picking the Constitution kid; you’ve got a promising future as a politician.",Reply Tweet,,['@davidhogg111'],2935346327,"Ohio, USA",,,,,,,,,United States,US,,Ohio,,"Ohio, United States",-83.00018,40.25034,0,0,0,0,https://twitter.com/twitter/status/1590877225930588160
1590877218997440513,Fri Nov 11 01:21:00 +0000 2022,"This Twitter Blue is all fun and games, for now. What happens when something seriously bad happens? This platform used to provide emergency response tips. There are likely to be more mass shootings in our future. Can you imagine the damage the trolls will inflict?",Original Tweet,,,1147072879,"Dallas, TX",,,,,,,,,United States,US,Dallas,Texas,Dallas County,"Dallas, Texas, United States",-96.80667,32.78306,0,0,1,0,https://twitter.com/twitter/status/1590877218997440513
1590877199061913601,Fri Nov 11 01:20:55 +0000 2022,@BertAtkinson1 @NRA Prove it friend. I don’t believe you. You made that up.,Reply Tweet,,"['@BertAtkinson1', '@NRA']",1326297098,"California, U. S. A.",,,,,,,,,United States,US,,California,,"California, United States",-119.75126,37.25022,0,0,1,0,https://twitter.com/twitter/status/1590877199061913601
1590877158528147456,Fri Nov 11 01:20:46 +0000 2022,@AdamantiumStac1 @GovRonDeSantis You must not know me at all...I carried legislation to repeal them...and Trump actually pushed for Red Flag laws. It was one of the few things I thought Trump got wrong.,Reply Tweet,,"['@AdamantiumStac1', '@GovRonDeSantis']",2720054437,"Culpeper, VA",,,,,,,,,United States,US,Culpeper,Virginia,Culpeper County,"Culpeper, Virginia, United States",-77.99666,38.47318,2,0,2,0,https://twitter.com/twitter/status/1590877158528147456
1590877157966086144,Fri Nov 11 01:20:46 +0000 2022,@EPPOLICE @DeeNiceRodz “Don’t give him that?” That’s your idea of being reassuring? Blaming the people who are alarmed by a guy with an AR-15 for “creating strife” instead of the one with the automatic weapon? Aren’t you the police? Aren’t you the one charged with public safety?,Reply Tweet,,"['@EPPOLICE', '@DeeNiceRodz']",14586461,"Austin, TX",,,,admin,Texas,"Texas, USA",US,United States,United States,US,Austin,Texas,Travis County,"Austin, Texas, United States",-97.74306,30.26715,0,0,13,1,https://twitter.com/twitter/status/1590877157966086144
1590877132351504384,Fri Nov 11 01:20:40 +0000 2022,@Plshel1959 @LacarpetronM @19Stjuice19 @Derrick47886845 @unStunned @jersey_some @FLYNN6411 @JamesWe70210481 @TrumpHa07812722 @JimboUSA1776 @Bekind4america @Marsha579L @DonnaLeist @DianeBu72276743 @Keith_22_ @Sofie_Z1 @EyeH8Trump @Luckboxwinnerr @SonnyFarmer @nickder61 @rmgoldman1 @rsnoeljr @SaltyTanker2 @The1Hauntings @DianaHe50951535 @LawrenceDunha16 @RenayCharlotte @Larry092218801 @LarryCouch5 @Ettored @EricRos11919423 @GodsArmyOfHmrs @DocDeezWhat @NavyVet9200 @DharmaPatriot @neila0081 @UndercoverReb @flipartist @DanpawP @MadeUMadAgain @Melissamcadam10 @KeelKeel13 @BurgerPhergus @Usaproud19 @MarshaManley @step_withers @The4ourthBranch @Chekhovs_Gunman @Ferahgo684 @Danime9071 MAGAs call this “loving your country.” What country would that be? Russia? https://t.co/5wpH3HokHG,Reply Tweet,,"['@Plshel1959', '@LacarpetronM', '@19Stjuice19', '@Derrick47886845', '@unStunned', '@jersey_some', '@FLYNN6411', '@JamesWe70210481', '@TrumpHa07812722', '@JimboUSA1776', '@Bekind4america', '@Marsha579L', '@DonnaLeist', '@DianeBu72276743', '@Keith_22_', '@Sofie_Z1', '@EyeH8Trump', '@Luckboxwinnerr', '@SonnyFarmer', '@nickder61', '@rmgoldman1', '@rsnoeljr', '@SaltyTanker2', '@The1Hauntings', '@DianaHe50951535', '@LawrenceDunha16', '@RenayCharlotte', '@Larry092218801', '@LarryCouch5', '@Ettored', '@EricRos11919423', '@GodsArmyOfHmrs', '@DocDeezWhat', '@NavyVet9200', '@DharmaPatriot', '@neila0081', '@UndercoverReb', '@flipartist', '@DanpawP', '@MadeUMadAgain', '@Melissamcadam10', '@KeelKeel13', '@BurgerPhergus', '@Usaproud19', '@MarshaManley', '@step_withers', '@The4ourthBranch', '@Chekhovs_Gunman', '@Ferahgo684', '@Danime9071']",517946537,New Jersey coast,,,,,,,,,United States,US,,New Jersey,,"New Jersey, United States",-74.49987,40.16706,4,0,5,1,https://twitter.com/twitter/status/1590877132351504384
